Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.70,5.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.70,5.70,-67.52,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-10.70,5.70,-47.52
0.22,-10.70,5.44,-67.52,0.0,0.0,0.0,2.57,0.00,0.00,None,None,-10.70,5.44,-47.52
0.31,-10.70,5.05,-67.52,0.0,0.0,0.0,4.41,0.00,0.00,None,None,-10.70,5.05,-47.52
0.42,-10.70,4.85,-67.52,0.0,0.0,0.0,1.82,0.00,0.00,None,None,-10.70,4.85,-47.52
0.52,-10.70,4.31,-67.52,0.0,0.0,0.0,5.40,0.00,0.00,None,None,-10.70,4.31,-47.52
0.60,-10.70,3.64,-67.52,0.0,0.0,0.0,8.20,0.00,0.00,None,None,-10.70,3.64,-47.52
0.70,-10.70,2.97,-67.52,0.0,0.0,0.0,6.61,0.00,0.00,None,None,-10.70,2.97,-47.52
0.80,-10.70,2.23,-67.52,0.0,0.0,0.0,7.59,0.00,0.00,None,None,-10.70,2.23,-47.52
0.90,-10.70,1.71,-67.52,0.0,0.0,0.0,5.04,0.00,0.00,None,None,-10.70,1.71,-47.52
1.00,-10.70,1.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.71,-47.52
1.10,-10.70,1.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.71,-47.52
1.20,-10.70,1.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.71,-47.52
1.30,-10.70,1.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.71,-47.52
1.40,-10.70,1.71,-67.48,0.0,0.0,0.0,0.39,0.00,0.00,None,None,-10.70,1.71,-47.48
1.50,-10.70,1.71,-67.38,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-47.38
1.60,-10.70,1.71,-67.28,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-47.28
1.70,-10.70,1.71,-67.18,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-47.18
1.80,-10.70,1.71,-67.08,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-47.08
1.90,-10.70,1.71,-66.98,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-46.98
2.00,-10.70,1.71,-66.88,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-46.88
2.10,-10.70,1.71,-66.78,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-46.78
2.20,-10.70,1.71,-66.68,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-46.68
2.30,-10.70,1.71,-66.58,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-46.58
2.40,-10.70,1.71,-66.48,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-46.48
2.50,-10.70,1.71,-66.38,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-10.70,1.71,-46.38
2.60,-10.70,1.71,-66.28,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-10.70,1.71,-46.28
2.70,-10.70,1.71,-66.18,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-46.18
2.80,-10.70,1.71,-66.08,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-46.08
2.90,-10.70,1.71,-65.98,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-45.98
3.00,-10.70,1.71,-65.88,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-45.88
3.10,-10.70,1.71,-65.78,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-45.78
3.20,-10.70,1.71,-65.68,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-45.68
3.30,-10.70,1.71,-65.58,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-45.58
3.40,-10.70,1.71,-65.48,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-10.70,1.71,-45.48
3.50,-10.70,1.71,-65.38,0.0,0.0,0.0,1.02,0.00,0.00,None,None,-10.70,1.71,-45.38
3.60,-10.70,1.71,-65.28,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-45.28
3.70,-10.70,1.71,-65.18,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-10.70,1.71,-45.18
3.80,-10.70,1.71,-65.08,0.0,0.0,0.0,1.02,0.00,0.00,None,None,-10.70,1.71,-45.08
3.90,-10.70,1.71,-64.98,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.71,-44.98
4.00,-10.70,1.71,-64.88,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-10.70,1.71,-44.88
4.10,-10.79,1.71,-64.78,0.0,0.0,0.0,1.38,0.00,0.00,None,None,-10.79,1.71,-44.78
