Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.70,5.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.70,5.70,-67.52,0.0,0.0,0.0,0.10,0.00,0.00,None,Signs,-10.70,5.70,-51.85
0.22,-10.70,5.70,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,Signs,-10.70,5.70,-51.85
0.32,-10.70,5.70,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,Signs,-10.70,5.70,-51.85
0.42,-10.70,4.48,-67.52,0.0,0.0,0.0,12.21,0.00,0.00,None,Signs,-10.70,4.48,-51.85
0.50,-10.70,3.72,-67.52,0.0,0.0,0.0,9.28,0.00,0.00,None,None,-10.70,3.72,-47.52
0.62,-10.70,3.17,-67.52,0.0,0.0,0.0,4.63,0.00,0.00,None,None,-10.70,3.17,-47.52
0.72,-10.70,2.56,-67.52,0.0,0.0,0.0,6.11,0.00,0.00,None,RecycleBin,-10.70,2.56,-51.86
0.80,-10.70,1.94,-67.52,0.0,0.0,0.0,7.60,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
0.91,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.00,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.10,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.20,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.31,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.41,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.50,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.60,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.70,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.81,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.90,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.00,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.11,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.21,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.30,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.40,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.50,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.60,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.71,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.80,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
